,name,totalError,hf,refHf,ie,refIe,dipole,refDipole,geomError,hfError,ieError,dipoleError
57,57-H6C5,504.61248665392606,32.02749155081684,32.1,9.042189064390527,8.57,0.17965199282941782,0.42,30.305250769639734,-0.0725084491831609,0.4721890643905269,-0.24034800717058216
58,58-H8C5,50.88335223679654,39.266743223688316,46.4,9.563053533185922,,0.384747323197723,,,-7.133256776311683,,
59,59-H8C5,297.9994612387941,24.503369323516942,25.3,9.896105772549571,,0.029883989827990707,,24.3870802190045,-0.7966306764830584,,
60,60-H8C5,444.80493587912076,20.004571017975852,19.1,9.050048738529838,,0.0791825506259067,,29.798882098245194,0.9045710179758508,,
61,61-H8C5,214.6509707122032,19.078272950605147,18.1,9.306008653973034,,0.07651263381848429,,20.673362220321952,0.9782729506051453,,
62,62-H8C5,742.7761140740404,30.108950090199187,37.3,10.480671516008329,,0.1021061617357411,,37.17700674526647,-7.19104990980081,,
63,63-H8C5,564.6731259052231,-0.4017996801103555,8.3,9.717937559117058,9.18,0.05470656482275459,0.2,30.052289548695978,-8.701799680110357,0.5379375591170579,-0.1452934351772454
64,64-H8C5,253.7369802031312,23.34511132448533,18.0,9.150350955494071,,0.15017783566898257,,21.221063363177155,5.34511132448533,,
65,65-H8C5,609.0011568902255,10.814622807373969,29.1,9.887501772980437,,0.03862690035618753,,23.436985207727435,-18.285377192626033,,
66,66-H8C5,534.4480086304488,33.6195775773257,44.3,10.995600237790836,,1.1107798010587563e-06,,28.99574401541319,-10.680422422674297,,
67,67-H9C5,37.64015993045298,194.13515769401675,188.0,16.870602768740323,,4.153115765243425,,,6.135157694016755,,
68,68-H10C5,525.0718434886674,-10.203222510140774,-9.9,9.649805757511759,,0.05305264079705287,,32.40308317422931,-0.30322251014077395,,
69,69-H10C5,482.8514129611804,-8.853333660051607,-6.1,9.761765181080209,,0.03903180081236828,,30.83084710862182,-2.7533336600516076,,
70,70-H10C5,12.074297820794731,-2.1748090337160586,1.3,10.905202658679883,,0.07784110922923294,,,-3.474809033716059,,
71,71-H10C5,837.3353871132706,-30.558720984209568,-18.3,12.056511128067251,10.5,4.08236179168749e-06,,29.8257089694395,-12.258720984209567,1.5565111280672514,
72,72-H10C5,494.4348605269841,-10.359882491627122,-7.9,9.777486205437011,,0.01915400993521891,,31.25328266452567,-2.4598824916271216,,
73,73-H12C5,781.230329086159,-34.49627587413447,-35.1,12.156961462087233,10.3,0.003144835219286545,,29.530840120060645,0.6037241258655328,1.8569614620872326,
74,74-H12C5,618.6333744249075,-24.67818802357157,-40.3,12.12163278428647,11.3,2.6375179894852976e-07,,24.782426103050977,15.621811976428429,0.8216327842864697,
75,75-H6C6,209.27873219465923,21.280279783097168,19.8,9.390852895472992,9.25,9.288794031316142e-08,,20.253570062687736,1.480279783097167,0.1408528954729924,
76,76-H6C6,470.40029544754117,53.630803480848215,47.5,8.90365850085904,,0.6946784936704583,0.42,28.37725265675773,6.130803480848215,,0.2746784936704583
77,77-H8C6,76.33996599195814,42.49301744881206,40.1,8.64319777731562,,6.7168312677163915e-06,,11.883891069985381,2.39301744881206,,
78,78-H8C6,81.09819204231471,43.79496963707207,41.1,8.646997911968489,,0.04821159738511903,,12.15198178879267,2.69496963707207,,
79,79-H8C6,327.3918901731073,14.433109469165093,25.4,8.946920005853256,,0.07477740074263665,,20.352847577564717,-10.966890530834906,,
80,80-H8C6,552.733725491206,14.304631491142363,25.0,9.503273138423234,,4.824889732277402e-06,,29.608877653532982,-10.695368508857637,,
81,81-H10C6,181.48900753774512,6.328214389408318,19.8,9.44923712800972,,0.012427353372933698,,,-13.471785610591683,,
82,82-H10C6,350.0661313312124,19.538368666619114,20.1,9.80145525392246,,5.861279996125462e-05,,26.448088837440682,-0.5616313333808876,,
