,name,totalError,hf,refHf,ie,refIe,dipole,refDipole,geomError,hfError,ieError,dipoleError
23,23-H4C3,3.83745732197946,64.25095921786243,66.2,9.851990194291588,9.86,0.45898354785084505,0.45,,-1.9490407821375726,-0.008009805708411477,0.008983547850845042
24,24-H4C3,589.5492332436115,37.7261294144589,44.4,10.686065927801332,10.37,0.06668929545540062,0.78,25.74855541937077,-6.673870585541096,0.3160659278013327,-0.7133107045445994
25,25-H5C3,177.18908403692654,216.43735258562427,226.0,17.30008067222653,,1.0432627305552997,,13.095408238406291,-9.562647414375732,,
26,26-H5C3,317.46115264875095,252.81743956489683,235.0,18.395419859110444,,2.083079609294612,,,17.81743956489683,,
27,27-H5C3,4.490343268451006,234.88095699230738,237.0,17.26260604225826,,1.0683534139381288,,,-2.1190430076926248,,
28,28-H5C3,410.54135460010446,20.644681550313628,40.0,9.053908952320077,,0.02320269358730911,,8.475022396588079,-19.355318449686372,,
29,29-H6C3,168.0038595586805,6.435847050312321,12.7,11.386835704356244,11.0,2.7353963642380403e-08,,15.086421786833384,-6.264152949687678,0.38683570435624404,
30,30-H6C3,224.30496765184637,0.14797022949098523,4.9,9.924124385534215,9.88,0.015879068594908615,0.37,17.39930061516735,-4.752029770509015,0.04412438553421438,-0.3541209314050914
31,31-H7C3,929.3498065298854,-6.699195632472598,16.8,9.277331123212504,,0.03757638519313888,,27.464071480997355,-23.4991956324726,,
32,32-H8C3,336.77857612108124,-30.256453676314596,-24.8,12.236727632671933,11.5,0.002086406748687931,0.08,22.374124238492232,-5.456453676314595,0.7367276326719328,-0.07791359325131207
33,33-C4,1640.9358702608918,271.6317257594683,232.0,9.88440194152015,,4.3522459875470723e-08,,11.85429741378122,39.63172575946828,,
34,34-H2C4,519.9874943529701,100.33567452884553,113.0,9.989392829854895,10.17,6.53640219291212e-07,,26.696084346692338,-12.66432547115447,-0.1806071701451053,
35,35-H4C4,385.6705602087055,61.458157520547594,72.8,9.491515921878333,9.1,0.09925298362534112,,21.9865730695609,-11.341842479452403,0.39151592187833373,
36,36-H4C4,362.41444436883364,67.75884745395777,83.0,9.00535115681758,9.15,2.0411116280830454e-07,,16.00183643546595,-15.24115254604223,-0.14464884318242,
37,37-H6C4,367.2915715781192,28.90770209496184,38.8,9.794704214467616,9.15,0.016867974525819347,,21.34805196362733,-9.892297905038156,0.644704214467616,
38,38-H6C4,32.670527146635465,23.673711679800675,26.0,9.122721152343736,9.08,8.082939830846931e-08,,7.358858622392741,-2.3262883201993247,0.04272115234373608,
39,39-H6C4,536.7835382285397,31.44528691599864,39.5,10.649299783080831,10.2,0.04205596960485498,,30.05721563469606,-8.05471308400136,0.44929978308083207,
40,40-H6C4,736.4573761067281,21.049042979068734,34.7,10.42299274967305,9.6,1.673589747722149e-07,,31.0604907211066,-13.65095702093127,0.82299274967305,
41,41-H6C4,1631.296544305815,59.351600849441525,51.9,9.970235554441013,,0.4018634177504686,0.68,55.584641866836506,7.451600849441526,,-0.27813658224953147
42,42-H6C4,356.1602108778959,26.347891127153723,37.5,9.72682867906888,9.43,0.05971685746940371,0.13,21.023989347633865,-11.152108872846277,0.2968286790688808,-0.0702831425305963
43,43-H6C4,1657.7946845319234,49.2591362711181,58.2,9.677469864430854,,0.39602938217255546,,56.175717891514076,-8.9408637288819,,
44,44-H6C4,470.1957024048347,33.2024033893671,47.9,10.041554570383306,,0.026417017217126134,,22.546678525935786,-14.6975966106329,,
45,45-H7C4,0.6836543350811549,200.82683392230916,200.0,16.686558591388863,,2.1360907064340533,,,0.826833922309163,,
46,46-H7C4,4.655240206271446,215.15760056689635,213.0,18.039122461097207,,3.0226179253523817,,,2.157600566896349,,
47,47-H8C4,278.4262472868916,-6.089715740336346,-0.2,9.935540040756587,9.7,0.021615263065674958,,21.82611210018699,-5.889715740336346,0.23554004075658774,
48,48-H8C4,403.33952328858817,-9.902881728588367,-1.9,9.736681714880165,,0.06639495719844866,,26.0496989359499,-8.002881728588367,,
49,49-H8C4,1020.0658342127635,-17.069747978957224,6.8,11.749591133655366,10.7,5.9519480923300825e-08,,26.082055549708315,-23.869747978957225,1.0495911336553672,
50,50-H8C4,272.6298434710062,-7.660731807938163,-4.3,9.771881819896329,,0.04786173099167396,,22.861991391220446,-3.360731807938163,,
51,51-H8C4,379.06146391526187,-10.731913058708392,-3.0,9.717955940823973,,1.0937140075285632e-05,,25.26970456368006,-7.7319130587083915,,
52,52-H9C4,13.683786533145815,179.69916024702172,176.0,18.802302475685774,,2.8444633489597958e-05,,,3.699160247021723,,
53,53-H9C4,681.6236923685713,-16.03112731142913,4.5,9.175839132272046,,0.1067279421342704,,22.80774007614345,-20.53112731142913,,
